stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8552223,3619,"Caldwell Street at Housing Authority","",35.916917,-79.06291,,,0,,,0,,
8552224,3564,"Mitchell Lane at Caldwell Street","",35.915813,-79.06412,,,0,,,0,,
8552225,3566,"Mitchell Lane at Lindsay Street","",35.913549,-79.062838,,,0,,,0,,
8552226,3582,"Mitchell Lane at Rosemary Street","",35.912223,-79.062524,,,0,,,0,,
8552227,3567,"West Rosemary Street at Mini Mart Eastbound","",35.912347,-79.060609,,,0,,,0,,
8552228,3568,"West Rosemary Street at Pritchard Avenue","",35.913546,-79.057495,,,0,,,0,,
8552229,3214,"South Road at Coker Hall","",35.908608,-79.051503,,,0,,,0,,
8552230,3397,"South Road at Woollen Gym","",35.910131,-79.045229,,,0,,,0,,
8552231,3430,"South Road at Country Club Road Eastbound","",35.910581,-79.042622,,,0,,,0,,
8552232,3105,"Raleigh Road at Greenwood Road","",35.909711,-79.032289,,,0,,,0,,
8552233,3386,"Raleigh Road at UNC Administration","",35.909311,-79.030265,,,0,,,0,,
8552234,3392,"Hamilton Road at Berkley Road","",35.910966,-79.023275,,,0,,,0,,
8552235,3393,"Hamilton Road at Maxwell Road 2","",35.913208,-79.023433,,,0,,,0,,
8552236,3362,"Brandon Road at Hamilton Road","",35.915191,-79.023391,,,0,,,0,,
8552237,3364,"Brandon Road at Flemington Road Northbound","",35.91520055433878,-79.02457853107452,,,0,,,0,,
8552238,3597,"Willow Drive at Estes Drive","",35.927757,-79.030258,,,0,,,0,,
8552239,3375,"Estes Drive at Camelot Apartments","",35.927288,-79.029824,,,0,,,0,,
8552240,3373,"Estes Drive at US 15-501 Bypass","",35.925166,-79.025921,,,0,,,0,,
8552241,3363,"Brandon Road at Flemington Road Southbound","",35.91509250185022,-79.02460713722608,,,0,,,0,,
8552242,3361,"Brandon Road at Hamilton Road","",35.915049,-79.02342,,,0,,,0,,
8552243,3394,"Hamilton Road at Maxwell Road 2","",35.913195,-79.02359,,,0,,,0,,
8552244,3391,"Hamilton Road at Berkley Road","",35.911022,-79.023443,,,0,,,0,,
8552245,3389,"Hamilton Road at Maxwell Road 1","",35.90955,-79.02373,,,0,,,0,,
8552246,3387,"Raleigh Road at Glen Lennox Shopping","",35.908398,-79.024817,,,0,,,0,,
8552247,3114,"Raleigh Road at UNC Administration Westbound","",35.909535,-79.030227,,,0,,,0,,
8552248,3106,"Raleigh Road at Greenwood Road Westbound","",35.909986,-79.032451,,,0,,,0,,
8552249,3398,"South Road at Raleigh Street","",35.910163,-79.045941,,,0,,,0,,
8552250,3215,"South Road at Kenan Labs","",35.908739,-79.05117,,,0,,,0,,
8552251,3409,"West Rosemary Street at Mini Mart","",35.912533,-79.060467,,,0,,,0,,
8552252,3410,"Mitchell Lane at Rosemary Street","",35.912025,-79.062394,,,0,,,0,,
8552253,3411,"Mitchell Lane at Lindsay Street","",35.913403,-79.062666,,,0,,,0,,
8552254,3412,"Mitchell Lane at McDade Street","",35.91456,-79.063136,,,0,,,0,,
8552255,3413,"Mitchell Lane at Caldwell Street","",35.915952,-79.064069,,,0,,,0,,
8552256,3414,"Caldwell Street at Housing Authority","",35.916776,-79.062978,,,0,,,0,,
8552258,3046,"Longview Street at Pritchard Avenue","",35.919534,-79.060478,,,0,,,0,,
8552259,3608,"Bradley Road at Reade Road Northbound","",35.924849,-79.057684,,,0,,,0,,
8552260,3088,"Bradley Road at Williams Circle","",35.925833,-79.058177,,,0,,,0,,
8552261,3093,"Barclay Road at Williams Circle","",35.929441,-79.058456,,,0,,,0,,
8552262,3328,"Barclay Road at Wyrick Street","",35.928929,-79.060109,,,0,,,0,,
8552263,3297,"Barclay Road at Hartig Street","",35.928061,-79.06275,,,0,,,0,,
8552264,3139,"Old Fayetteville Road at Poplar Place","",35.903148,-79.09085,,,0,,,0,,
8552265,3404,"Old Fayetteville Road at Autumn Woods","",35.905601,-79.091652,,,0,,,0,,
8552266,3595,"Old Fayetteville Road at West End Flats Northbound","",35.910661,-79.09338,,,0,,,0,,
8552267,3136,"Old Fayetteville Road at West Poplar Avenue","",35.912365,-79.094115,,,0,,,0,,
8552268,3135,"Old Fayetteville Road at Berkshire Manor","",35.914453,-79.095727,,,0,,,0,,
8552269,3134,"Old Fayetteville Road at Carrboro Plaza","",35.915968,-79.096837,,,0,,,0,,
8552270,3744,"Old Fayetteville Road at Pine Grove Northbound","",35.924691,-79.100088,,,0,,,0,,
8552271,3738,"Hillsborough Road at Brunton Drive","",35.932871,-79.100417,,,0,,,0,,
8552272,3739,"Hillsborough Road at McDougle School","",35.931091,-79.098057,,,0,,,0,,
8552273,3743,"Hillsborough Road at the Hollow","",35.928968,-79.095428,,,0,,,0,,
8552276,3740,"Hillsborough Road at James Street Eastbound","",35.926372,-79.092537,,,0,,,0,,
8552277,3741,"Hillsborough Road at Rainbow Drive Southbound","",35.923753,-79.090267,,,0,,,0,,
8552278,3603,"Hillsborough Road at Simpson Street","",35.922032,-79.087502,,,0,,,0,,
8552279,3528,"North Greensboro Street at Morningside Drive Eastbound","",35.921125,-79.085127,,,0,,,0,,
8552280,3530,"North Greensboro Street at Milton Drive","",35.920729,-79.082182,,,0,,,0,,
8552281,3532,"North Greensboro Street at Cheek Avenue","",35.920776,-79.08029,,,0,,,0,,
8552282,3536,"North Greensboro Street at Todd Street","",35.917579,-79.075344,,,0,,,0,,
8552283,3537,"North Greensboro Street at Oak Avenue Eastbound","",35.916776,-79.073677,,,0,,,0,,
8552284,3540,"North Greensboro Street at 503","",35.914322,-79.07229,,,0,,,0,,
8552285,3508,"Weaver Street at Carrboro Century Center","",35.910899,-79.071792,,,0,,,0,,
8552286,3510,"East Main Street at Arts Center Plaza","",35.910684,-79.068409,,,0,,,0,,
8552287,3481,"West Franklin Street at South Roberson Street","",35.910148,-79.063341,,,0,,,0,,
