Name,Address,Latitude,Longitude,Place ID
The Fresh Market,"4215 University Drive a3, Durham",35.9624838,-78.95826009999999,ChIJnzuS71vmrIkR5PPPaxSN8gI
Harris Teeter,"1125 NC-54, Durham",35.9176609,-78.95860549999999,ChIJaQIPUprorIkRsG795g0BPgY
Durham Co-op Market,"1111 West Chapel Hill Street, Durham",35.9966515,-78.91685530000001,ChIJbZ0mExDkrIkRiyRX9Bdg5ZE
Sprouts Farmers Market,"105 West North Carolina 54, Durham",35.910067,-78.938329,ChIJsf3WmsjprIkRe_d0AnXjHx0
Compare Foods,"1233 University Drive, Durham",35.9849888,-78.9096619,ChIJl-s1Oz7krIkR1eI3n0YcyTA
Food Lion,"2930 W Main St, Durham",36.0143416,-78.9340478,ChIJjeBADFThrIkR1x8_uWmKF1s
bp,"4148 Old Chapel Hill Road, Durham",35.949156,-78.96872599999999,ChIJT5AOBErmrIkRYe480-hGm0Q
bp,"1251 University Drive, Durham",35.984696,-78.9109458,ChIJJSxHeRXkrIkR3kvXKZR8KVI
Food Lion,"3022 Fayetteville St, Durham",35.9636922,-78.9085668,ChIJcxJnsMrlrIkRwm1atDPWLCI
Food Lion,"4621 Hillsborough Rd, Durham",36.03188919999999,-78.9792296,ChIJ5c2LX97grIkRzDs-4bJurXA
Al-Taiba Halal Market - A Halal Meat & Middle Eastern Grocery,"1008 West Chapel Hill Street, Durham",35.9971786,-78.915722,ChIJ1x2CJBDkrIkR2sNjYaKJA2k
Food Lion,"4711 Hope Valley Rd, Durham",35.920826,-78.9560527,ChIJlVN_rZ7orIkRcMASaryZGV0
Li Ming's Global Mart,"3400 Westgate Drive, Durham",35.9661961,-78.963248,ChIJkxSmzsDnrIkR12oB1chy1bg
bp,"2000 James Street, Durham",35.9751115,-78.925547,ChIJQVnGSILmrIkRK14IdoNVWU0
bp,"2685 Durham-Chapel Hill Boulevard, Durham",35.9739,-78.931049,ChIJQVnGSILmrIkRdDW2u8Elmsc
Target Grocery,"4037 Durham-Chapel Hill Boulevard, Durham",35.96584859999999,-78.9586975,ChIJ614HxQ7nrIkRiAh97pIcO4s
Global Suq Halal Mediterranean Market,"105 West Cornwallis Road, Durham",35.9653768,-78.91995829999999,ChIJUQVoSe7lrIkR9RfzzCCpzoE
Publix Super Market at the Marketplace at Ellis Crossing,"1065 Yunus Road, Durham",35.94162009999999,-78.85343,ChIJtfNESNjlrIkRHj_HTLGLEAE
bp,"308 South Alston Avenue, Durham",35.9836646,-78.89003670000001,ChIJoclI7l3krIkR0iGnw1Gw_V4
ALDI,"7906 North Carolina 751, Durham",35.90057279999999,-78.9601149,ChIJubjSc2bprIkRw1Hnz5qyhgA
Walmart Supercenter,"1001 Shiloh Glenn Dr, Morrisville",35.8671798,-78.84649650000001,ChIJ8a5KYi7urIkRThcNTY2YZCQ
Food Lion,"4900 NC-55 STE 300, Durham",35.8988542,-78.89876439999999,ChIJhQ3VMhPvrIkRWP6_6uKYu70
Bullcity mini mart & tobacco,"2929 Angier Ave, Durham",35.9729877,-78.8664683,ChIJNdctQfLlrIkRjCORDRHLQTg
GLENN'S GROCERY & VARIETY STORE,Durham,35.969513,-78.90251719999999,ChIJrVJ52EvkrIkR9AdSQFLw3uo
Food Lion,"2400 Holloway St, Durham",35.9891338,-78.8594717,ChIJhfH-Eb3krIkRALYCJQTctWk
Around The World Market,"1708 North Carolina 54, Durham",35.90228,-78.90285999999999,ChIJgzMhB2vvrIkRgsRM_Hti74Q
Sri vari indian grocery store,"5129 NC-55 Ste 108, Durham",35.8942704,-78.8957743,ChIJnZdgaQDvrIkRZWMaNUkUY7s
Food Lion,"2000 Chapel Hill Rd, Durham",35.9878208,-78.9279056,ChIJNX_VHiDkrIkRlsk53XltwDc
Las Carolinas Fresh Market,"2107 Allendown Dr, Durham",35.8992152,-78.8952941,ChIJzztxGZ3vrIkRXh6NT8MZ8F4
East Durham Market,"306 S Driver St, Durham",35.9826497,-78.8778276,ChIJ0YQHWPPkrIkRewxCTiH3ZEM
SouthPoint Crossing,"202 NC-54, Durham",35.9126165,-78.9366912,ChIJvSwwxLHorIkRGNvSheGRt9Y
RTP Sabzi Mandi,"1004 Lower Shiloh Way UNIT 100, Morrisville",35.864968,-78.847222,ChIJq9UNUy7urIkRzNBf-kCi8jY
World Market,"6807 Fayetteville Rd Suite 114, Durham",35.9044747,-78.9355606,ChIJQQ4nw7forIkR5tdq86-g5l4
Spice Bazaar,"4125 Durham-Chapel Hill Blvd, Durham",35.9680753,-78.9597132,ChIJ8whgY1jmrIkRObS7mqwcK34
ATM (Town 'n Country Superette),"3700 Fayetteville Rd, Durham",35.9533128,-78.90612019999999,ChIJc8Qi_MflrIkROUAJg1X6hwo
bp,"2317 North Carolina, 54 North Carolina 54, Durham",35.9010511,-78.8892584,ChIJ6dIJFgnprIkRc7XYgOwTuOs
bp,"5202 South Miami Boulevard, Morrisville",35.8829765,-78.8504051,ChIJ_cjbEzLurIkRH2GNGHeiH9E
bp,"4116 North Carolina 55, Durham",35.9156618,-78.8918542,ChIJmVltgg7vrIkR6G1aXFbS9jA
Target Grocery,"8210 Renaissance Parkway, Durham",35.9027735,-78.9565767,ChIJ82sbfATprIkRQtp4teQ9gIM
bp,"1529 South Miami Boulevard, Durham",35.951609,-78.8385231,ChIJuzHqsCzlrIkRN9dO6OxXgCg
Lowes Foods of Chapel Hill,"11312 US Highway 15 501 North, Chapel Hill",35.8448948,-79.0891303,ChIJBSRArl3BrIkRRvbLyQ4IJNc
Harris Teeter,"88 Chatham Downs Dr, Chapel Hill",35.8309862,-79.08652409999999,ChIJoTxRIEDBrIkR7NXilQnGqH0
